feature,correlacion
NumberOfTimes90DaysLate_log_odds_NumberOfTime6...,0.9928
NumberOfTime30-59DaysPastDueNotWorse_log_odds_...,0.987
NumberOfTime30-59DaysPastDueNotWorse_log_odds_...,0.9836
NumberOfOpenCreditLinesAndLoans_log_odds_Numbe...,0.434
MonthlyIncome_log_odds_DebtRatio_log_odds,0.2288
NumberOfDependents_log_odds_age_log_odds,0.221
MonthlyIncome_log_odds_NumberOfDependents_log_...,0.2123
MonthlyIncome_log_odds_age_log_odds,0.1593
age_log_odds_NumberOfOpenCreditLinesAndLoans_l...,0.1477
NumberRealEstateLoansOrLines_log_odds_DebtRati...,0.12
NumberOfOpenCreditLinesAndLoans_log_odds_Numbe...,0.08
NumberOfOpenCreditLinesAndLoans_log_odds_Numbe...,0.0711
age_log_odds_NumberOfTime30-59DaysPastDueNotWo...,0.063
NumberOfDependents_log_odds_DebtRatio_log_odds,0.0623
age_log_odds_NumberOfTimes90DaysLate_log_odds,0.061
age_log_odds_NumberOfTime60-89DaysPastDueNotWo...,0.0572
NumberOfTime30-59DaysPastDueNotWorse_log_odds_...,0.0553
MonthlyIncome_log_odds_NumberRealEstateLoansOr...,0.0547
NumberOfOpenCreditLinesAndLoans_log_odds_DebtR...,0.0496
NumberOfTimes90DaysLate_log_odds_NumberRealEst...,0.0452
NumberRealEstateLoansOrLines_log_odds_NumberOf...,0.0397
age_log_odds_NumberRealEstateLoansOrLines_log_...,0.0332
NumberOfTime30-59DaysPastDueNotWorse_log_odds_...,0.0306
age_log_odds_DebtRatio_log_odds,0.0242
NumberOfOpenCreditLinesAndLoans_log_odds_Revol...,0.0113
NumberOfTimes90DaysLate_log_odds_DebtRatio_log...,0.0083
NumberOfTime60-89DaysPastDueNotWorse_log_odds_...,0.0075
NumberOfTime30-59DaysPastDueNotWorse_log_odds_...,0.0065
age_log_odds_RevolvingUtilizationOfUnsecuredLi...,0.0059
NumberOfDependents_log_odds_RevolvingUtilizati...,-0.0002
NumberOfTime60-89DaysPastDueNotWorse_log_odds_...,-0.001
NumberOfTimes90DaysLate_log_odds_RevolvingUtil...,-0.0011
NumberOfTime30-59DaysPastDueNotWorse_log_odds_...,-0.0013
MonthlyIncome_log_odds_NumberOfTime30-59DaysPa...,-0.004
RevolvingUtilizationOfUnsecuredLines_log_odds_...,-0.004
MonthlyIncome_log_odds_RevolvingUtilizationOfU...,-0.0056
NumberRealEstateLoansOrLines_log_odds_Revolvin...,-0.0062
MonthlyIncome_log_odds_NumberOfTimes90DaysLate...,-0.0074
MonthlyIncome_log_odds_NumberOfOpenCreditLines...,-0.0074
MonthlyIncome_log_odds_NumberOfTime60-89DaysPa...,-0.0077
NumberOfDependents_log_odds_NumberOfTime30-59D...,-0.0116
NumberOfDependents_log_odds_NumberOfTimes90Day...,-0.0193
NumberOfDependents_log_odds_NumberOfTime60-89D...,-0.02
NumberOfDependents_log_odds_NumberOfOpenCredit...,-0.1008
NumberOfDependents_log_odds_NumberRealEstateLo...,-0.1379
