fecha_observacion,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,saldo_actual,clasificacion_sbs,Garantia,y_score_modelo,SeriousDlqin2yrs
2025-07-01,0.22164344,64,0,0.21975121,25000.0,11,0,1,0,0.0,58235.03,Normal,35425.37,0.012254605545271965,0
2025-07-01,0.360597259,59,0,0.705925118,2750.0,5,0,1,0,2.0,7149.74,Normal,5456.82,0.024858052670442957,0
2025-07-01,0.444955504,27,2,1450.0,,13,0,0,0,0.0,16768.38,CPP,0.0,0.185466338299438,0
2025-07-01,0.407392319,51,0,0.165646918,6700.0,8,0,0,0,0.0,37233.08,Normal,0.0,0.02923415078647394,0
2025-07-01,0.442624165,60,0,0.35963743,3750.0,11,0,0,0,0.0,15625.59,Normal,0.0,0.034235408612756625,0
2025-07-01,0.088760982,76,0,8.0,,2,0,0,0,0.0,46436.37,Normal,0.0,0.008916851692078353,0
2025-07-01,0.0,66,0,5405.0,,17,0,3,0,0.0,34403.25,Normal,27736.29,0.013994590380182772,0
2025-07-01,0.099451962,68,0,154.0,,8,0,0,0,0.0,16189.76,Normal,0.0,0.009030750131697856,0
2025-07-01,0.0,32,0,0.352496218,660.0,3,0,0,0,0.0,1876.19,Normal,0.0,0.013749386914963349,0
2025-07-01,0.176362412,66,0,0.24503378,9916.0,17,0,2,1,0.0,37912.64,Deficiente,26338.75,0.07096976176228262,0
2025-07-01,0.55505546,60,0,0.444354653,8661.0,19,0,2,0,1.0,30833.31,Normal,25438.63,0.04071152081890533,0
2025-07-01,0.041527959,61,0,0.01318214,7054.0,10,0,0,0,0.0,10721.68,Normal,0.0,0.010811744993759928,0
2025-07-01,0.772797793,41,6,0.434653465,2019.0,8,0,0,1,0.0,4001.91,Deficiente,0.0,0.398380914797679,1
2025-07-01,0.0,81,0,0.0,1191.0,3,0,0,0,0.0,2460.93,Normal,0.0,0.009444987428794198,0
2025-07-01,1.139825565,39,0,0.479489831,2900.0,11,0,2,0,3.0,14979.79,Normal,10509.16,0.24206170898988458,0
2025-07-01,0.74190095,52,2,0.386836165,8416.0,12,0,1,0,1.0,62705.62,CPP,53620.54,0.17550310707405586,1
2025-07-01,0.035981078,64,0,0.502468198,10533.0,19,0,5,0,0.0,27051.45,Normal,22509.08,0.027074939495636528,1
2025-07-01,0.0,63,0,3771.0,,13,0,1,0,0.0,18038.76,Normal,16912.9,0.009644568329510526,0
2025-07-01,0.75015623,38,0,0.123725085,15000.0,5,0,1,0,2.0,150000.0,Normal,117651.76,0.05201824412622183,0
2025-07-01,0.17831256,41,1,0.376662334,10000.0,10,0,1,0,2.0,22142.0,CPP,14135.7,0.0410780365391431,0
2025-07-01,0.024998333,76,0,0.273382969,4297.0,7,0,1,0,0.0,5332.08,Normal,4504.4,0.008292204342232167,0
2025-07-01,0.029703703,63,0,387.0,,11,0,0,0,0.0,19926.47,Normal,0.0,0.011294566814527595,0
2025-07-01,0.422364102,45,0,0.425409945,7500.0,18,0,2,0,0.0,37931.3,Normal,27881.59,0.045648949779566336,0
2025-07-01,0.675806696,54,1,429.0,,6,0,0,0,0.0,12084.82,CPP,0.0,0.1092281385058973,0
2025-07-01,0.0,69,0,0.356997972,8380.0,10,0,2,0,1.0,19313.36,Normal,18005.11,0.009756202565679608,1
2025-07-01,0.092464612,56,0,0.078469554,19000.0,16,0,2,0,1.0,41620.52,Normal,28393.63,0.013429592151143383,0
2025-07-01,0.022270703,29,0,7.0,0.0,2,0,0,1,0.0,1333.34,Deficiente,0.0,0.06411442935285576,0
2025-07-01,0.0,45,0,0.226471691,8000.0,8,0,1,0,2.0,19487.47,Normal,17556.06,0.011774034887914819,0
2025-07-01,0.011879749,50,0,1354.0,,9,0,1,0,0.0,11549.44,Normal,8937.24,0.012900072718500846,0
2025-07-01,0.184766464,68,0,0.517140898,5833.0,17,0,3,0,0.0,47539.88,Normal,37541.24,0.01838859468584122,0
2025-07-01,0.9999999,63,0,0.0,4090.0,7,0,0,0,0.0,15927.27,Normal,0.0,0.04643543043238399,0
2025-07-01,0.98110189,53,0,0.343310935,11458.0,9,0,2,0,3.0,73842.95,Normal,52212.78,0.06557899527553404,0
2025-07-01,0.227386307,39,1,0.489673551,1500.0,5,0,0,0,2.0,7812.9,CPP,0.0,0.05908838872012746,0
2025-07-01,0.130701575,54,0,0.189134809,10436.0,11,0,1,0,4.0,9942.01,Normal,8607.13,0.012932177791091824,0
2025-07-01,0.0,38,0,0.333966145,6320.0,5,0,2,0,0.0,22558.21,Normal,20561.25,0.012666373274540498,0
2025-07-01,0.014999559,61,0,926.0,,7,0,0,0,0.0,34797.93,Normal,0.0,0.009512915144385722,0
2025-07-01,0.9999999,47,1,0.082199389,3600.0,1,0,0,0,1.0,6255.92,CPP,0.0,0.1837369257290155,0
2025-07-01,0.303544826,58,0,0.534390401,4666.0,13,0,2,0,0.0,6757.2,Normal,4717.92,0.02711138873057332,0
2025-07-01,0.402981683,47,0,0.403697808,8166.0,10,0,3,0,1.0,15160.38,Normal,9313.38,0.033857184763646395,0
2025-07-01,0.521831472,63,0,0.518335459,6271.0,8,0,2,0,0.0,10874.5,Normal,10043.93,0.029129611566269146,0
2025-07-01,0.126174765,57,0,0.417895526,4000.0,12,0,1,0,0.0,17683.64,Normal,16559.17,0.01648615074095581,0
2025-07-01,0.0,63,0,0.0,5350.0,1,0,0,0,1.0,7216.26,Normal,0.0,0.010624144177447552,0
2025-07-01,0.089997143,48,0,0.331611398,6000.0,5,0,1,0,1.0,8067.78,Normal,5451.37,0.01196445446324907,0
2025-07-01,0.755355183,50,0,0.379534821,14746.0,15,0,2,0,0.0,68172.27,Normal,62961.72,0.0710771420976975,1
2025-07-01,0.385759285,59,2,0.553103783,4123.0,11,0,1,0,1.0,20131.22,CPP,14480.09,0.11929162098445228,0
2025-07-01,0.987823958,31,0,0.621399177,1700.0,5,0,0,0,0.0,2008.06,Normal,0.0,0.10182724129862897,0
2025-07-01,0.0,63,0,0.116905693,2300.0,3,0,0,0,0.0,8769.4,Normal,0.0,0.010039939249249978,0
2025-07-01,0.076647382,46,0,0.400654426,5500.0,16,0,2,0,2.0,9986.74,Normal,7629.53,0.01798735058902203,0
2025-07-01,0.528537703,54,1,0.068521499,4348.0,4,2,0,2,4.0,15377.19,Perdida,0.0,0.647156410662787,1
2025-07-01,0.044654988,70,0,0.149248204,13500.0,11,0,2,0,1.0,52307.06,Normal,37490.75,0.009038385538069375,0
2025-07-01,0.058802639,67,0,0.120168688,23000.0,10,0,2,0,0.0,120634.18,Normal,94385.45,0.008988942027900775,0
2025-07-01,0.186364342,86,0,0.522698875,2400.0,10,0,0,0,0.0,25263.5,Normal,0.0,0.016505532843448113,0
2025-07-01,0.806809771,33,0,191.0,,6,3,0,0,0.0,13679.44,Perdida,0.0,0.49371512292388364,1
2025-07-01,0.005040446,52,0,0.414159292,5649.0,10,0,2,0,0.0,23108.35,Normal,14089.08,0.013634112908303615,0
2025-07-01,0.713182481,45,0,0.430976431,9800.0,11,0,1,0,4.0,82047.35,Normal,70569.72,0.06300798534079459,0
2025-07-01,0.398200225,69,0,95.0,,2,0,0,0,,27073.76,Normal,0.0,0.021571424723200176,0
2025-07-01,0.0,70,0,0.0,,3,0,0,0,0.0,7877.92,Normal,0.0,0.008323472114477962,0
2025-07-01,0.420654192,42,1,0.565640621,3800.0,6,0,1,0,2.0,21164.46,CPP,15538.57,0.08589818482106927,0
2025-07-01,0.007025892,61,0,0.188586371,6500.0,15,0,2,0,0.0,20584.78,Normal,20450.46,0.012305077094909482,0
2025-07-01,0.275747508,56,2,4352.0,,7,0,1,0,0.0,10675.89,CPP,7035.02,0.07259260229902206,0
2025-07-01,0.008060484,62,0,0.652263374,971.0,13,0,0,0,1.0,3746.22,Normal,0.0,0.013286787895498003,0
2025-07-01,0.005190565,73,0,0.042434884,3416.0,15,0,1,0,0.0,6447.96,Normal,4610.23,0.012587367124613582,0
2025-07-01,0.9999999,39,0,0.0,,2,0,0,0,0.0,6673.26,Normal,0.0,0.07250107377300712,0
2025-07-01,0.0049998,70,0,0.00059988,5000.0,4,0,0,0,0.0,10331.45,Normal,0.0,0.008700362681602984,0
2025-07-01,0.299575877,51,0,0.595713968,9005.0,15,0,2,0,2.0,17658.02,Normal,11595.41,0.0325915411824078,0
2025-07-01,0.080120346,38,0,0.213679158,10833.0,7,0,1,0,2.0,36469.21,Normal,35683.1,0.012354130002083458,0
2025-07-01,0.114470739,55,0,1979.0,,2,0,1,0,0.0,10858.32,Normal,6778.94,0.01056885554192008,0
2025-07-01,0.022176141,66,0,691.0,,6,0,1,0,1.0,4579.48,Normal,3773.07,0.008312837479383493,0
2025-07-01,0.625684028,38,0,0.423394151,4000.0,6,0,1,0,0.0,2745.3,Normal,2722.56,0.05748005469569518,1
2025-07-01,0.9999999,23,0,0.251249583,3000.0,4,0,0,0,1.0,4692.29,Normal,0.0,0.09370429857151588,0
2025-07-01,0.9999999,85,0,0.0,,1,0,0,0,0.0,12990.49,Normal,0.0,0.044245580979999165,0
2025-07-01,0.603684402,52,0,0.37266204,8500.0,13,0,2,0,1.0,14421.23,Normal,10386.85,0.04615703959375734,0
2025-07-01,0.023392715,66,0,0.00539892,5000.0,3,0,0,0,0.0,6748.71,Normal,0.0,0.008700362681602984,0
2025-07-01,0.9999999,27,1,0.16495659,2533.0,2,0,0,1,1.0,9990.75,Deficiente,0.0,0.37446707823715314,1
2025-07-01,0.181136377,48,0,0.418929607,11378.0,13,0,2,0,2.0,62013.18,Normal,56740.86,0.01748779450961914,0
2025-07-01,0.162079802,52,1,0.457947855,7133.0,18,0,2,0,0.0,7555.04,CPP,6477.0,0.047393317335155435,1
2025-07-01,0.201664409,41,1,0.240414252,8110.0,7,0,1,0,1.0,31483.64,CPP,25716.62,0.036514530683929056,1
2025-07-01,1.0089991,45,2,0.421857814,10000.0,3,0,2,2,0.0,14503.73,Deficiente,12739.32,0.5806685630722453,1
2025-07-01,0.005759539,58,0,0.185114338,11500.0,6,0,1,0,0.0,42847.63,Normal,25941.66,0.008868464223540231,0
2025-07-01,0.017048621,40,0,0.487837388,3000.0,8,0,1,0,2.0,8450.34,Normal,8266.44,0.014993280557009747,0
2025-07-01,0.0,63,0,316.0,,2,0,1,0,0.0,48902.44,Normal,47474.32,0.009391035174376328,0
2025-07-01,0.03408238,77,0,0.013998667,10500.0,8,0,1,0,0.0,9945.22,Normal,6808.94,0.007789587568061347,0
2025-07-01,0.218463589,62,0,0.437573616,1697.0,5,0,0,0,0.0,4565.36,Normal,0.0,0.017226207106021112,0
2025-07-01,0.236809652,44,1,0.210319625,9166.0,7,0,1,0,1.0,12577.38,CPP,11596.18,0.038747806014705906,0
2025-07-01,0.0,55,0,0.366523354,10233.0,8,0,2,0,1.0,11871.54,Normal,7885.38,0.010956563805307296,1
2025-07-01,0.019678341,54,0,18.0,,9,0,0,0,0.0,37132.93,Normal,0.0,0.013851164144681932,0
2025-07-01,0.0,72,1,213.0,0.0,6,0,0,0,0.0,5218.04,CPP,0.0,0.022013215284117208,0
