iter	Passed	Remaining
0	5	7014
1	10	6789
2	15	6561
3	19	6424
4	24	6303
5	28	6086
6	32	5957
7	35	5829
8	40	5779
9	43	5686
10	47	5643
11	51	5588
12	56	5575
13	59	5532
14	64	5516
15	67	5482
16	72	5474
17	75	5440
18	79	5410
19	83	5393
20	87	5369
21	91	5365
22	95	5348
23	99	5337
24	103	5316
25	107	5304
26	111	5296
27	115	5278
28	119	5267
29	123	5251
30	127	5239
31	131	5225
32	135	5217
33	139	5209
34	142	5190
35	146	5183
36	150	5173
37	154	5160
38	158	5155
39	162	5147
40	166	5142
41	170	5131
42	174	5126
43	178	5122
44	182	5114
45	186	5105
46	190	5106
47	194	5096
48	198	5086
49	202	5081
50	206	5074
51	210	5073
52	214	5065
53	218	5061
54	222	5065
55	230	5158
56	239	5248
57	257	5553
58	263	5573
59	269	5598
60	273	5584
61	277	5567
62	281	5552
63	285	5537
64	288	5521
65	293	5510
66	296	5496
67	300	5478
68	304	5464
69	308	5455
70	312	5442
71	316	5427
72	320	5412
73	323	5397
74	328	5399
75	332	5389
76	336	5378
77	340	5363
78	344	5353
79	348	5343
80	352	5330
81	356	5319
82	360	5310
83	364	5301
84	368	5290
85	371	5281
86	375	5271
87	379	5263
88	384	5255
89	387	5245
90	391	5236
91	395	5220
92	399	5210
93	402	5200
94	406	5188
95	410	5180
96	413	5161
97	416	5144
98	421	5141
99	425	5130
100	429	5125
101	433	5122
102	437	5116
103	441	5105
104	445	5098
105	449	5090
106	453	5081
107	457	5074
108	461	5068
109	465	5061
110	469	5054
111	473	5049
112	477	5042
113	481	5034
114	485	5029
115	489	5021
116	492	5012
117	496	5006
118	501	5002
119	505	4996
120	509	4989
121	513	4983
122	517	4979
123	521	4974
124	525	4966
125	529	4958
126	533	4952
127	537	4946
128	541	4940
129	544	4931
130	548	4927
131	553	4924
132	557	4917
133	561	4911
134	564	4904
135	568	4897
136	572	4891
137	576	4885
138	580	4879
139	584	4872
140	588	4866
141	592	4861
142	596	4855
143	600	4848
144	603	4839
145	607	4833
146	611	4828
147	615	4821
148	620	4818
149	624	4814
150	628	4809
151	632	4805
152	636	4800
153	640	4796
154	644	4791
155	648	4785
156	652	4778
157	656	4773
158	660	4768
159	664	4761
160	668	4755
161	671	4749
162	675	4744
163	680	4739
164	684	4737
165	688	4732
166	692	4725
167	696	4720
168	700	4714
169	704	4709
170	708	4703
171	711	4695
172	715	4691
173	719	4686
174	723	4681
175	727	4676
176	731	4672
177	736	4668
178	739	4661
179	743	4656
180	747	4650
181	751	4644
182	755	4640
183	759	4634
184	763	4630
185	767	4625
186	771	4619
187	775	4614
188	779	4609
189	782	4603
190	786	4597
191	790	4591
192	794	4586
193	798	4582
194	802	4577
195	806	4572
196	810	4568
197	814	4564
198	819	4560
199	823	4556
200	827	4551
201	831	4547
202	835	4542
203	838	4536
204	842	4530
205	846	4525
206	850	4521
207	854	4516
208	858	4511
209	862	4506
210	867	4503
211	871	4499
212	875	4495
213	879	4490
214	882	4484
215	886	4479
216	890	4474
217	894	4469
218	898	4464
219	902	4459
220	906	4455
221	910	4450
222	914	4446
223	918	4441
224	922	4436
225	926	4432
226	930	4427
227	934	4423
228	938	4419
229	942	4413
230	946	4409
231	950	4404
232	954	4399
233	958	4395
234	962	4390
235	965	4383
236	969	4378
237	973	4374
238	978	4370
239	981	4364
240	985	4360
241	989	4356
242	993	4351
243	997	4346
244	1001	4340
245	1004	4333
246	1008	4329
247	1013	4326
248	1017	4322
249	1021	4317
250	1025	4313
251	1029	4310
252	1033	4305
253	1037	4300
254	1041	4294
255	1045	4292
256	1049	4287
257	1053	4284
258	1057	4279
259	1061	4276
260	1065	4271
261	1069	4267
262	1073	4263
263	1077	4258
264	1081	4253
265	1085	4249
266	1089	4244
267	1094	4241
268	1098	4236
269	1102	4232
270	1106	4228
271	1110	4224
272	1113	4219
273	1117	4214
274	1121	4209
275	1126	4206
276	1130	4203
277	1134	4199
278	1139	4196
279	1143	4192
280	1147	4188
281	1151	4185
282	1156	4183
283	1160	4179
284	1164	4175
285	1168	4170
286	1171	4164
287	1175	4159
288	1179	4154
289	1183	4149
290	1187	4146
291	1191	4141
292	1194	4135
293	1198	4128
294	1201	4122
295	1205	4117
296	1209	4111
297	1212	4105
298	1215	4098
299	1219	4093
300	1223	4090
301	1227	4086
302	1231	4081
303	1235	4075
304	1239	4070
305	1242	4065
306	1246	4060
307	1249	4054
308	1253	4048
